Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Boyfriend Dungeon,"19,99 €*","• Acción, Aventura, Simulación",11-08-2021,¡Ten citas románticas con tus armas!
Garden Story,"19,99 €*","• Acción, Aventura, Rol (RPG), Simulación",11-08-2021,¡Cultiva todo tu potencial!
Curious Expedition 2,"19,99 €*","• Estrategia, Rol (RPG)",11-08-2021,Embárcate en innumerables viajes llenos de misterios y maravillas a cada turno en Curious Expedition 2
Necrobarista : Toque Final,"17,99 €*","• Aventura, Estilo de vida, Otros, Rol (RPG)",11-08-2021,"En una cafetería de mala muerte, los difuntos gozan de una última noche para codearse con los vivos."
Slime Rancher: Plortable Edition,"20,99 €*","• Acción en primera persona (FPS), Aventura, Simulación",11-08-2021,"¡Te damos la bienvenida a la Lejana, Lejana Pradera!"
Poker Champion: Texas Hold'em,"9,99 €*","• Deportes, Fiesta, Otros, Simulación",11-08-2021,¡Afina tus habilidades de póquer y siente la adrenalina de ganar una fortuna!
Crimson Spires,"19,99 €*",• Aventura,11-08-2021,¿En quién podrás confiar mientras investigas un pueblo misteriosamente aislado del resto del mundo?
ISLANDERS: Console Edition,"4,99 €1,24 €*",• Estrategia,11-08-2021,Un juego minimalista de construir ciudades.
Black Book,"24,99 €*","• Aventura, Estrategia, Puzle, Rol (RPG)",10-08-2021,"Fight evil forces in card-based battles and explore the world, where humans live alongside mythological creatures."
Super Hiking League DX,"4,99 €*","• Acción, Arcade, Aventura, Plataformas",10-08-2021,Climb to the top and save the world in many different levels.
Button City,"19,99 €*","• Acción, Arcade, Aventura, Rol (RPG)",10-08-2021,"Una aventura narrativa sobre simpáticos animales, amistad y juegos de arcade."
Dungeon's Hell,"2,99 €*","• Arcade, Educativo, Plataformas, Puzle",10-08-2021,
Tomb Sweeper,"2,99 €*","• Arcade, Educativo, Plataformas, Puzle",10-08-2021,
Magnus Failure,"3,99 €*","• Acción, Arcade, Aventura",09-08-2021,Magnus Failure is an isometric exploration and adventure game with logical elements.
Mahjong Masters,"5,90 €2,95 €*","• Arcade, Estrategia, Puzle, Tablero",09-08-2021,300 Mahjong boards to solve!
Pop Blocks,"3,99 €*",• Puzle,07-08-2021,Haz estallar los bloques que coinciden en colores y están junto a otros. Pop Blocks es el juego de tap-match definitivo en Nintendo Switch™.
Bone Marrow,"4,99 €*","• Arcade, Puzle",06-08-2021,Un juego de puzles clásico con un toque de fantasía épica.
Castle Of Pixel Skulls,"4,99 €*","• Acción, Plataformas",06-08-2021,Castle Of Pixel Skulls es un divertido plataformas repleto de divertidos y alocados obstáculos. Disfruta de desafiantes niveles en una carrera contra el tiempo para poder escapar.
Zengeon,"19,99 €*","• Acción, Rol (RPG)",06-08-2021,¡Ábrete camino a través de hordas demoníacas y jefes colosales!
Race Track Driver,"11,99 €*","• Acción, Carreras, Deportes, Simulación",06-08-2021,"Start your journey to becoming a true driving pro! Your personal tutor will meet you on the race track. Follow his advice, and start your career in a race team!"
The Last Survey,"14,99 €*","• Aventura, Educativo, Estilo de vida, Simulación",06-08-2021,The Last Survey es una experiencia única basada en una historia sobre el oscuro futuro de nuestro planeta.
Spelunker HD Deluxe,"24,99 €*","• Acción, Arcade, Aventura",06-08-2021,"¡Vuelve el legendario juego ""Spelunker"" con una versión completamente nueva!"
Badland: Game of the Year Edition,"5,99 €*","• Acción, Aventura, Plataformas, Puzle",06-08-2021,"Fly and survive through the Game-of-the-Year- winning world of BADLAND and discover an astonishing number of imaginative traps, puzzles and obstacles on the way."
Gems of Magic: Father's Day,"9,99 €*","• Aventura, Estrategia, Puzle",06-08-2021,¡Elimina todos los obstáculos y supera los desafíos de 100 niveles para reunir a padre e hijo!
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
LogScape - Puzzle Game,"6,99 €*","• Estrategia, Puzle, Tablero",06-08-2021,Paul Bunyan está encerrado en el bosque encantado. Ayúdelo a resolver acertijos sacando el bloque de madera rojo de la caja. Más de cientos de rompecabezas para jugar. ¿Puedes ser el maestro de los acertijos y ayudar a Paul Bunyan a escapar?
Dreamscaper,"24,99 €6,24 €*","• Acción, Aventura",05-08-2021,"De noche, sumérgete en tu subconsciente y descubre poderosos artefactos para conquistar tus pesadillas. De día, explora Redhaven y crea vínculos para desbloquears oníricos."
The Falconeer: Warrior Edition,"29,99 €*","• Aventura, Disparos (Shooter), Lucha",05-08-2021,Surca los cielos a lomos de tu apabullante pájaro de guerra en este juego de combate en el aire nominado a los BAFTA.
Dodgeball Academia,"24,99 €*","• Acción, Aventura, Deportes, Rol (RPG)",05-08-2021,"Acompaña al estudiante novato de Dodgeball, Otto, y a un grupo ecléctico de personajes mientras entrenan para triunfar dentro y fuera de las canchas en este veloz JDR de deportes."
Star Hunter DX,"8,99 €*","• Acción, Arcade, Disparos (Shooter)",05-08-2021,Caza piratas espaciales y dispara para conseguir todos los puntos posibles en este accesible shoot 'em up de inspiración retro.
123 Dots,"9,99 €*","• Educativo, Otros, Puzle, Uso práctico",05-08-2021,"Aprender a contar los números, las formas y el abecedario con 123 Dots."
I.F.O,"3,99 €*","• Acción, Arcade, Disparos (Shooter)",05-08-2021,Shoot'em up aliens and save the Earth!
PICROSS S MEGA DRIVE & Master System edition,"9,99 €*","• Educativo, Estrategia, Puzle",05-08-2021,¡Presentamos la colaboración entre Picross S y personajes de icónicos juegos de las consolas Mega Drive y Sega Mark III!
Dating Life: Miley X Emily,"9,99 €*",• Aventura,05-08-2021,Ten una sorprendente primera cita en la que tus elecciones crearán el resultado final.
Haven Park,"8,49 €*","• Aventura, Otros, Puzle, Rol (RPG)",05-08-2021,"""Cariño, me estoy haciendo mayor y ya no puedo seguir cuidando del parque... ¿Podrías ayudarme a devolverle la vida a este lugar?"
Doomsday Vault,"19,99 €*","• Acción, Aventura, Puzle",05-08-2021,Salva a las últimas plantas de la Tierra
Battle Calculator,"11,99 €*","• Fiesta, Puzle, Uso práctico",05-08-2021,The world's first battle calculator game!
Smashroom,"9,99 €1,39 €*","• Arcade, Plataformas",05-08-2021,"Una misteriosa maldición te ha convertido en una pequeña seta y tu mundo ha sido invadido por hongos, ¡pero todavía hay esperanza!"
Project AETHER: First Contact,"9,99 €1,49 €*","• Arcade, Disparos (Shooter)",05-08-2021,"Una amenaza procedente de más allá del espacio conocido se acerca al sistema solar, y deberás tomar el control del prototipo AETHER en este shooter espacial táctico repleto de ritmo."
